index,canton,sex,age,count,percentage,cases,fatalities,cases_pp,fatalities_pp
2019,FR,Male,40,2147,0.013599452728124961,4,0,0.0018630647414997672,0.0
2020,FR,Male,41,2192,0.013884490163041413,6,0,0.002737226277372263,0.0
2021,FR,Male,42,2136,0.013529776910700939,8,0,0.003745318352059925,0.0
2022,FR,Male,43,2180,0.013808480180397025,6,0,0.0027522935779816515,0.0
2023,FR,Male,44,2279,0.01443556253721322,6,0,0.0026327336551118913,0.0
2024,FR,Male,45,2280,0.014441896702433586,5,0,0.0021929824561403508,0.0
2025,FR,Male,46,2397,0.015182994033216362,7,0,0.002920317062995411,0.0
2026,FR,Male,47,2347,0.014866285772198081,4,0,0.0017043033659991478,0.0
2027,FR,Male,48,2466,0.01562005143342159,8,0,0.0032441200324412004,0.0
2028,FR,Male,49,2460,0.015582046442099396,8,0,0.0032520325203252032,0.0
2029,FR,Male,50,2459,0.01557571227687903,4,0,0.0016266775111834079,0.0
2030,FR,Male,51,2509,0.01589242053789731,5,0,0.0019928258270227183,0.0
2031,FR,Male,52,2587,0.016386485425085827,4,0,0.0015461925009663702,0.0
2032,FR,Male,53,2581,0.016348480433763635,6,0,0.002324680356450988,0.0
2033,FR,Male,54,2581,0.016348480433763635,9,1,0.003487020534676482,0.0003874467260751647
2034,FR,Male,55,2477,0.015689727250845612,8,0,0.003229713362939039,0.0
2035,FR,Male,56,2343,0.01484094911131662,7,0,0.002987622705932565,0.0
2036,FR,Male,57,2273,0.014397557545891027,5,0,0.002199736031676199,0.0
2037,FR,Male,58,2214,0.014023841797889456,6,0,0.0027100271002710027,0.0
2038,FR,Male,59,2002,0.012680998771171948,6,0,0.002997002997002997,0.0
2039,FR,Male,60,2024,0.012820350406019991,5,0,0.0024703557312252965,0.0
2040,FR,Male,61,1994,0.012630325449409022,7,1,0.003510531594784353,0.0005015045135406219
2041,FR,Male,62,1790,0.011338155744454438,8,0,0.004469273743016759,0.0
2042,FR,Male,63,1728,0.010945437500791771,3,0,0.001736111111111111,0.0
2043,FR,Male,64,1609,0.010191671839568263,8,1,0.004972032318210068,0.0006215040397762585
2044,FR,Male,65,1514,0.00958992614363353,9,1,0.0059445178335535,0.0006605019815059445
2045,FR,Male,66,1502,0.009513916160989143,5,0,0.003328894806924101,0.0
2046,FR,Male,67,1490,0.009437906178344757,6,0,0.004026845637583893,0.0
2047,FR,Male,68,1497,0.009482245334887316,3,0,0.002004008016032064,0.0
2048,FR,Male,69,1370,0.008677806351900883,6,0,0.004379562043795621,0.0
2049,FR,Male,70,1420,0.008994514612919164,8,1,0.005633802816901409,0.0007042253521126761
2050,FR,Male,71,1380,0.008741148004104539,6,3,0.004347826086956522,0.002173913043478261
2051,FR,Male,72,1336,0.008462444734408452,6,0,0.004491017964071856,0.0
2052,FR,Male,73,1253,0.007936709021118107,10,2,0.007980845969672785,0.0015961691939345571
2053,FR,Male,74,1184,0.00749965162091288,5,1,0.004222972972972973,0.0008445945945945946
2054,FR,Male,75,1123,0.0071132675424705775,8,3,0.007123775601068566,0.0026714158504007124
2055,FR,Male,76,1061,0.00672054929880791,10,1,0.00942507068803016,0.000942507068803016
2056,FR,Male,77,926,0.005865436994058553,9,1,0.009719222462203024,0.0010799136069114472
2057,FR,Male,78,797,0.00504832968063139,6,1,0.0075282308657465494,0.0012547051442910915
2058,FR,Male,79,724,0.0045859356195447004,7,2,0.009668508287292817,0.0027624309392265192
2059,FR,Male,80,674,0.00426922735852642,6,3,0.008902077151335312,0.004451038575667656
2060,FR,Male,81,642,0.00406653407147472,1,0,0.001557632398753894,0.0
2061,FR,Male,82,595,0.003768828306117537,10,2,0.01680672268907563,0.0033613445378151263
2062,FR,Male,83,506,0.003205087601504998,8,3,0.015810276679841896,0.005928853754940711
2063,FR,Male,84,471,0.0029833918187922013,7,4,0.014861995753715499,0.008492569002123142
2064,FR,Male,85,435,0.0027553618708590394,8,2,0.01839080459770115,0.004597701149425287
2065,FR,Male,86,404,0.0025590027490277056,5,0,0.012376237623762377,0.0
2066,FR,Male,87,351,0.0022232919923483286,4,1,0.011396011396011397,0.002849002849002849
2067,FR,Male,88,252,0.0015962096355321331,4,1,0.015873015873015872,0.003968253968253968
2068,FR,Male,89,211,0.0013365088614971433,9,4,0.04265402843601896,0.018957345971563982
2069,FR,Male,90,192,0.0012161597223101968,1,1,0.005208333333333333,0.005208333333333333
2070,FR,Male,91,152,0.0009627931134955724,6,4,0.039473684210526314,0.02631578947368421
2071,FR,Male,92,130,0.000823441478647529,4,2,0.03076923076923077,0.015384615384615385
2072,FR,Male,93,100,0.0006334165220365608,4,0,0.04,0.0
2073,FR,Male,94,75,0.0004750623915274206,1,1,0.013333333333333334,0.013333333333333334
2074,FR,Male,95,51,0.000323042426238646,2,2,0.0392156862745098,0.0392156862745098
2075,FR,Male,96,33,0.00020902745227206507,0,0,0.0,0.0
2076,FR,Male,97,24,0.0001520199652887746,0,0,0.0,0.0
2077,FR,Male,98,11,6.967581742402169e-05,0,0,0.0,0.0
2078,FR,Male,99,18,0.00011401497396658094,2,0,0.1111111111111111,0.0
5049,GE,Female,1,2507,0.009826170458776725,1,0,0.00039888312724371757,0.0
5050,GE,Female,2,2628,0.010300429184549357,0,0,0.0,0.0
5051,GE,Female,3,2554,0.01001038665804378,3,0,0.0011746280344557558,0.0
5052,GE,Female,4,2713,0.010633586140670625,1,0,0.00036859565057132326,0.0
5053,GE,Female,5,2504,0.009814411977972446,2,0,0.0007987220447284345,0.0
5054,GE,Female,6,2477,0.009708585650733926,1,0,0.0004037141703673799,0.0
5055,GE,Female,7,2414,0.009461657553844044,1,0,0.00041425020712510354,0.0
5056,GE,Female,8,2557,0.010022145138848061,0,0,0.0,0.0
5057,GE,Female,9,2497,0.00978697552276246,2,0,0.0008009611533840609,0.0
5058,GE,Female,10,2505,0.009818331471573873,3,0,0.0011976047904191617,0.0
5059,GE,Female,11,2535,0.009935916279616673,3,0,0.001183431952662722,0.0
5060,GE,Female,12,2460,0.009641954259509672,3,0,0.0012195121951219512,0.0
5061,GE,Female,13,2550,0.009994708683638075,4,0,0.001568627450980392,0.0
5062,GE,Female,14,2624,0.010284751210143649,4,0,0.001524390243902439,0.0
5063,GE,Female,15,2466,0.009665471221118231,3,0,0.0012165450121654502,0.0
5064,GE,Female,16,2495,0.009779136535559606,8,0,0.0032064128256513026,0.0
5065,GE,Female,17,2519,0.009873204381993846,8,0,0.0031758634378721714,0.0
5066,GE,Female,18,2697,0.010570874243047798,14,0,0.005190952910641453,0.0
5067,GE,Female,19,2704,0.010598310698257785,21,0,0.007766272189349112,0.0
5068,GE,Female,20,2644,0.010363141082172183,14,0,0.00529500756429652,0.0
5069,GE,Female,21,2774,0.010872675250357653,22,0,0.007930785868781542,0.0
5070,GE,Female,22,2878,0.01128030258490603,36,0,0.01250868658790827,0.0
5071,GE,Female,23,2941,0.011527230681795913,17,0,0.005780346820809248,0.0
5072,GE,Female,24,3068,0.012025006369177102,42,0,0.013689700130378096,0.0
5073,GE,Female,25,3224,0.012636447370999667,48,0,0.01488833746898263,0.0
5074,GE,Female,26,3439,0.013479138495306407,38,0,0.011049723756906077,0.0
5075,GE,Female,27,3526,0.013820134438630529,52,0,0.01474758933635848,0.0
5076,GE,Female,28,3444,0.01349873596331354,38,0,0.011033681765389082,0.0
5077,GE,Female,29,3558,0.013945558233876183,52,0,0.01461495222034851,0.0
5078,GE,Female,30,3698,0.014494287338075921,37,0,0.010005408328826392,0.0
5079,GE,Female,31,3664,0.014361024555627412,48,1,0.013100436681222707,0.0002729257641921397
